Processes,Size,Latency
2,2,0.26
2,4,0.26
2,8,0.25
2,16,0.15
2,32,0.16
2,64,0.15
2,128,0.20
2,256,0.20
2,512,0.22
2,1024,0.24
4,2,0.32
4,4,0.36
4,8,0.28
4,16,0.25
4,32,0.25
4,64,0.26
4,128,0.37
4,256,0.37
4,512,0.43
4,1024,0.49
8,2,1.27
8,4,1.32
8,8,1.42
8,16,1.28
8,32,1.35
8,64,1.36
8,128,1.60
8,256,1.65
8,512,1.74
8,1024,1.98
16,2,2.65
16,4,2.73
16,8,2.66
16,16,2.66
16,32,2.99
16,64,2.94
16,128,3.25
16,256,3.29
16,512,3.54
16,1024,4.49
32,2,5.59
32,4,5.48
32,8,5.45
32,16,5.44
32,32,6.48
32,64,5.98
32,128,6.71
32,256,6.78
32,512,7.13
32,1024,8.52
64,2,10.83
64,4,11.45
64,8,10.86
64,16,10.79
64,32,12.12
64,64,11.80
64,128,13.14
64,256,13.27
64,512,14.37
64,1024,15.81
128,2,23.10
128,4,22.94
128,8,23.44
128,16,23.86
128,32,24.49
128,64,24.53
128,128,27.78
128,256,28.47
128,512,29.31
128,1024,33.04
256,2,28.82
256,4,28.95
256,8,27.36
256,16,26.69
256,32,35.66
256,64,31.36
256,128,38.76
256,256,39.42
256,512,47.46
256,1024,55.60
