Processes,Size,Latency
2,4,0.13
3,4,0.14
4,4,0.17
5,4,0.28
6,4,0.28
7,4,0.29
8,4,0.30
9,4,0.25
10,4,0.23
11,4,0.21
12,4,0.22
13,4,0.29
14,4,0.38
15,4,0.46
16,4,0.46
17,4,0.54
18,4,0.55
19,4,0.43
20,4,0.39
21,4,0.44
22,4,0.50
23,4,0.51
24,4,0.46
25,4,0.55
26,4,0.64
27,4,0.71
28,4,0.71
29,4,0.84
30,4,0.94
31,4,1.02
32,4,1.14
33,4,1.16
34,4,1.20
35,4,1.16
36,4,1.09
37,4,1.17
38,4,1.19
39,4,1.20
40,4,1.15
41,4,1.26
42,4,1.32
43,4,1.33
44,4,1.27
45,4,1.29
46,4,1.33
47,4,1.39
48,4,1.37
49,4,1.51
50,4,1.58
51,4,1.62
52,4,1.62
53,4,1.74
54,4,1.79
55,4,1.85
56,4,1.80
57,4,1.94
58,4,1.95
59,4,2.19
60,4,2.10
61,4,2.30
62,4,2.32
63,4,2.42
64,4,2.47
65,4,2.70
66,4,2.86
67,4,2.87
68,4,2.89
69,4,3.18
70,4,3.22
71,4,3.31
72,4,3.26
73,4,3.42
74,4,3.43
75,4,3.45
76,4,3.50
77,4,3.67
78,4,3.69
79,4,3.70
80,4,3.60
81,4,3.88
82,4,3.91
83,4,3.91
84,4,4.02
85,4,4.20
86,4,4.17
87,4,4.28
88,4,4.20
89,4,4.40
90,4,4.51
91,4,4.44
92,4,4.55
93,4,4.74
94,4,4.73
95,4,4.79
96,4,4.71
97,4,4.89
98,4,5.00
99,4,5.02
100,4,5.06
101,4,5.14
102,4,5.26
103,4,5.33
104,4,5.32
105,4,5.63
106,4,5.51
107,4,5.60
108,4,5.68
109,4,6.04
110,4,5.99
111,4,5.88
112,4,6.00
113,4,6.18
114,4,6.18
115,4,6.24
116,4,6.30
117,4,6.56
118,4,6.53
119,4,6.52
120,4,6.55
121,4,6.79
122,4,6.94
123,4,6.79
124,4,6.75
125,4,6.84
126,4,6.63
127,4,6.45
128,4,6.49
129,4,6.39
130,4,6.38
131,4,6.47
132,4,6.42
133,4,6.23
134,4,6.09
135,4,6.12
136,4,6.14
137,4,5.96
138,4,5.93
139,4,5.84
140,4,5.75
141,4,5.72
142,4,5.58
143,4,5.60
144,4,5.51
145,4,5.45
146,4,5.31
147,4,5.16
148,4,4.97
149,4,4.92
150,4,4.74
151,4,4.62
152,4,4.46
153,4,4.40
154,4,4.33
155,4,4.15
156,4,3.97
157,4,3.93
158,4,3.90
159,4,3.84
160,4,3.64
161,4,3.47
162,4,3.19
163,4,3.15
164,4,3.03
165,4,3.09
166,4,3.12
167,4,3.16
168,4,3.09
169,4,3.18
170,4,3.15
171,4,3.17
172,4,3.05
173,4,3.11
174,4,3.07
175,4,3.07
176,4,2.99
177,4,2.99
178,4,2.91
179,4,2.79
180,4,2.55
181,4,2.65
182,4,2.62
183,4,2.60
184,4,2.43
185,4,2.48
186,4,2.42
187,4,2.52
188,4,2.32
189,4,2.36
190,4,2.52
191,4,2.44
192,4,2.30
193,4,2.37
194,4,2.34
195,4,2.26
196,4,2.27
197,4,2.20
198,4,2.29
199,4,2.31
200,4,2.26
201,4,2.38
202,4,2.33
203,4,2.34
204,4,2.34
205,4,2.42
206,4,2.48
207,4,2.52
208,4,2.35
209,4,2.44
210,4,2.50
211,4,2.44
212,4,2.27
213,4,2.47
214,4,2.42
215,4,2.30
216,4,2.33
217,4,2.46
218,4,2.39
219,4,2.37
220,4,2.28
221,4,2.38
222,4,2.45
223,4,2.30
224,4,2.47
225,4,2.48
226,4,2.47
227,4,2.36
228,4,2.57
229,4,2.44
230,4,2.51
231,4,2.52
232,4,2.60
233,4,2.61
234,4,2.69
235,4,2.64
236,4,2.60
237,4,2.71
238,4,2.67
239,4,2.70
240,4,2.77
241,4,2.61
242,4,2.74
243,4,2.73
244,4,2.71
245,4,2.75
246,4,2.76
247,4,2.67
248,4,2.67
249,4,2.78
250,4,2.60
251,4,2.71
252,4,2.61
253,4,2.65
254,4,2.61
255,4,2.55
256,4,3.30
