Processes,Size,Latency
2,2,0.21
2,4,0.21
2,8,0.18
2,16,0.14
2,32,0.15
2,64,0.15
2,128,0.18
2,256,0.18
2,512,0.19
2,1024,0.22
4,2,0.27
4,4,0.22
4,8,0.17
4,16,0.17
4,32,0.17
4,64,0.17
4,128,0.22
4,256,0.23
4,512,0.25
4,1024,0.29
8,2,0.31
8,4,0.31
8,8,0.31
8,16,0.32
8,32,0.34
8,64,0.34
8,128,0.51
8,256,0.54
8,512,0.59
8,1024,0.66
16,2,0.49
16,4,0.47
16,8,0.51
16,16,0.46
16,32,0.50
16,64,0.49
16,128,0.84
16,256,0.92
16,512,1.00
16,1024,1.13
32,2,1.11
32,4,1.12
32,8,1.12
32,16,1.16
32,32,1.13
32,64,1.14
32,128,1.35
32,256,1.45
32,512,1.54
32,1024,1.59
64,2,2.42
64,4,2.43
64,8,2.46
64,16,2.47
64,32,2.59
64,64,2.54
64,128,2.57
64,256,2.66
64,512,2.66
64,1024,3.05
128,2,6.55
128,4,6.41
128,8,6.47
128,16,6.47
128,32,6.32
128,64,6.37
128,128,6.08
128,256,6.21
128,512,6.24
128,1024,6.35
256,2,3.38
256,4,3.28
256,8,3.41
256,16,3.29
256,32,3.38
256,64,3.61
256,128,3.55
256,256,3.70
256,512,3.83
256,1024,3.96
