cores,threads,width,height,time
1,1,10000,10000,
2,1,10000,10000,2 total processes failed to start
3,1,10000,10000,3 total processes failed to start
4,1,10000,10000,4 total processes failed to start
5,1,10000,10000,5 total processes failed to start
6,1,10000,10000,6 total processes failed to start
7,1,10000,10000,7 total processes failed to start
8,1,10000,10000,8 total processes failed to start
9,1,10000,10000,9 total processes failed to start
10,1,10000,10000,10 total processes failed to start
11,1,10000,10000,11 total processes failed to start
12,1,10000,10000,12 total processes failed to start
13,1,10000,10000,13 total processes failed to start
14,1,10000,10000,14 total processes failed to start
15,1,10000,10000,15 total processes failed to start
16,1,10000,10000,16 total processes failed to start
17,1,10000,10000,17 total processes failed to start
18,1,10000,10000,18 total processes failed to start
19,1,10000,10000,19 total processes failed to start
20,1,10000,10000,20 total processes failed to start
21,1,10000,10000,21 total processes failed to start
22,1,10000,10000,22 total processes failed to start
23,1,10000,10000,23 total processes failed to start
24,1,10000,10000,24 total processes failed to start
25,1,10000,10000,25 total processes failed to start
26,1,10000,10000,26 total processes failed to start
27,1,10000,10000,27 total processes failed to start
28,1,10000,10000,28 total processes failed to start
29,1,10000,10000,29 total processes failed to start
30,1,10000,10000,30 total processes failed to start
31,1,10000,10000,31 total processes failed to start
32,1,10000,10000,32 total processes failed to start
33,1,10000,10000,33 total processes failed to start
34,1,10000,10000,34 total processes failed to start
35,1,10000,10000,35 total processes failed to start
36,1,10000,10000,36 total processes failed to start
37,1,10000,10000,37 total processes failed to start
38,1,10000,10000,38 total processes failed to start
39,1,10000,10000,39 total processes failed to start
40,1,10000,10000,40 total processes failed to start
41,1,10000,10000,41 total processes failed to start
42,1,10000,10000,42 total processes failed to start
43,1,10000,10000,43 total processes failed to start
44,1,10000,10000,44 total processes failed to start
45,1,10000,10000,45 total processes failed to start
46,1,10000,10000,46 total processes failed to start
47,1,10000,10000,47 total processes failed to start
48,1,10000,10000,48 total processes failed to start
49,1,10000,10000,49 total processes failed to start
50,1,10000,10000,50 total processes failed to start
51,1,10000,10000,51 total processes failed to start
52,1,10000,10000,52 total processes failed to start
53,1,10000,10000,53 total processes failed to start
54,1,10000,10000,54 total processes failed to start
55,1,10000,10000,55 total processes failed to start
56,1,10000,10000,56 total processes failed to start
57,1,10000,10000,57 total processes failed to start
58,1,10000,10000,58 total processes failed to start
59,1,10000,10000,59 total processes failed to start
60,1,10000,10000,60 total processes failed to start
61,1,10000,10000,61 total processes failed to start
62,1,10000,10000,62 total processes failed to start
63,1,10000,10000,63 total processes failed to start
64,1,10000,10000,64 total processes failed to start
65,1,10000,10000,65 total processes failed to start
66,1,10000,10000,66 total processes failed to start
67,1,10000,10000,67 total processes failed to start
68,1,10000,10000,68 total processes failed to start
69,1,10000,10000,69 total processes failed to start
70,1,10000,10000,70 total processes failed to start
71,1,10000,10000,71 total processes failed to start
72,1,10000,10000,72 total processes failed to start
73,1,10000,10000,73 total processes failed to start
74,1,10000,10000,74 total processes failed to start
75,1,10000,10000,75 total processes failed to start
76,1,10000,10000,76 total processes failed to start
77,1,10000,10000,77 total processes failed to start
78,1,10000,10000,78 total processes failed to start
79,1,10000,10000,79 total processes failed to start
80,1,10000,10000,80 total processes failed to start
81,1,10000,10000,81 total processes failed to start
82,1,10000,10000,82 total processes failed to start
83,1,10000,10000,83 total processes failed to start
84,1,10000,10000,84 total processes failed to start
85,1,10000,10000,85 total processes failed to start
86,1,10000,10000,86 total processes failed to start
87,1,10000,10000,87 total processes failed to start
88,1,10000,10000,88 total processes failed to start
89,1,10000,10000,89 total processes failed to start
90,1,10000,10000,90 total processes failed to start
91,1,10000,10000,91 total processes failed to start
92,1,10000,10000,92 total processes failed to start
93,1,10000,10000,93 total processes failed to start
94,1,10000,10000,94 total processes failed to start
95,1,10000,10000,95 total processes failed to start
96,1,10000,10000,96 total processes failed to start
97,1,10000,10000,97 total processes failed to start
98,1,10000,10000,98 total processes failed to start
99,1,10000,10000,99 total processes failed to start
100,1,10000,10000,100 total processes failed to start
101,1,10000,10000,101 total processes failed to start
102,1,10000,10000,102 total processes failed to start
103,1,10000,10000,103 total processes failed to start
104,1,10000,10000,104 total processes failed to start
105,1,10000,10000,105 total processes failed to start
106,1,10000,10000,106 total processes failed to start
107,1,10000,10000,107 total processes failed to start
108,1,10000,10000,108 total processes failed to start
109,1,10000,10000,109 total processes failed to start
110,1,10000,10000,110 total processes failed to start
111,1,10000,10000,111 total processes failed to start
112,1,10000,10000,112 total processes failed to start
113,1,10000,10000,113 total processes failed to start
114,1,10000,10000,114 total processes failed to start
115,1,10000,10000,115 total processes failed to start
116,1,10000,10000,116 total processes failed to start
117,1,10000,10000,117 total processes failed to start
118,1,10000,10000,118 total processes failed to start
119,1,10000,10000,119 total processes failed to start
120,1,10000,10000,120 total processes failed to start
121,1,10000,10000,121 total processes failed to start
122,1,10000,10000,122 total processes failed to start
123,1,10000,10000,123 total processes failed to start
124,1,10000,10000,124 total processes failed to start
125,1,10000,10000,125 total processes failed to start
126,1,10000,10000,126 total processes failed to start
127,1,10000,10000,127 total processes failed to start
128,1,10000,10000,128 total processes failed to start
129,1,10000,10000,129 total processes failed to start
130,1,10000,10000,130 total processes failed to start
131,1,10000,10000,131 total processes failed to start
132,1,10000,10000,132 total processes failed to start
133,1,10000,10000,133 total processes failed to start
134,1,10000,10000,134 total processes failed to start
135,1,10000,10000,135 total processes failed to start
136,1,10000,10000,136 total processes failed to start
137,1,10000,10000,137 total processes failed to start
138,1,10000,10000,138 total processes failed to start
139,1,10000,10000,139 total processes failed to start
140,1,10000,10000,140 total processes failed to start
141,1,10000,10000,141 total processes failed to start
142,1,10000,10000,142 total processes failed to start
143,1,10000,10000,143 total processes failed to start
144,1,10000,10000,144 total processes failed to start
145,1,10000,10000,145 total processes failed to start
146,1,10000,10000,146 total processes failed to start
147,1,10000,10000,147 total processes failed to start
148,1,10000,10000,148 total processes failed to start
149,1,10000,10000,149 total processes failed to start
150,1,10000,10000,150 total processes failed to start
151,1,10000,10000,151 total processes failed to start
152,1,10000,10000,152 total processes failed to start
153,1,10000,10000,153 total processes failed to start
154,1,10000,10000,154 total processes failed to start
155,1,10000,10000,155 total processes failed to start
156,1,10000,10000,156 total processes failed to start
157,1,10000,10000,157 total processes failed to start
158,1,10000,10000,158 total processes failed to start
159,1,10000,10000,159 total processes failed to start
160,1,10000,10000,160 total processes failed to start
161,1,10000,10000,161 total processes failed to start
162,1,10000,10000,162 total processes failed to start
163,1,10000,10000,163 total processes failed to start
164,1,10000,10000,164 total processes failed to start
165,1,10000,10000,165 total processes failed to start
166,1,10000,10000,166 total processes failed to start
167,1,10000,10000,167 total processes failed to start
168,1,10000,10000,168 total processes failed to start
169,1,10000,10000,169 total processes failed to start
170,1,10000,10000,170 total processes failed to start
171,1,10000,10000,171 total processes failed to start
172,1,10000,10000,172 total processes failed to start
173,1,10000,10000,173 total processes failed to start
174,1,10000,10000,174 total processes failed to start
175,1,10000,10000,175 total processes failed to start
176,1,10000,10000,176 total processes failed to start
177,1,10000,10000,177 total processes failed to start
178,1,10000,10000,178 total processes failed to start
179,1,10000,10000,179 total processes failed to start
180,1,10000,10000,180 total processes failed to start
181,1,10000,10000,181 total processes failed to start
182,1,10000,10000,182 total processes failed to start
183,1,10000,10000,183 total processes failed to start
184,1,10000,10000,184 total processes failed to start
185,1,10000,10000,185 total processes failed to start
186,1,10000,10000,186 total processes failed to start
187,1,10000,10000,187 total processes failed to start
188,1,10000,10000,188 total processes failed to start
189,1,10000,10000,189 total processes failed to start
190,1,10000,10000,190 total processes failed to start
191,1,10000,10000,191 total processes failed to start
192,1,10000,10000,192 total processes failed to start
193,1,10000,10000,193 total processes failed to start
194,1,10000,10000,194 total processes failed to start
195,1,10000,10000,195 total processes failed to start
196,1,10000,10000,196 total processes failed to start
197,1,10000,10000,197 total processes failed to start
198,1,10000,10000,198 total processes failed to start
199,1,10000,10000,199 total processes failed to start
200,1,10000,10000,200 total processes failed to start
201,1,10000,10000,201 total processes failed to start
202,1,10000,10000,202 total processes failed to start
203,1,10000,10000,203 total processes failed to start
204,1,10000,10000,204 total processes failed to start
205,1,10000,10000,205 total processes failed to start
206,1,10000,10000,206 total processes failed to start
207,1,10000,10000,207 total processes failed to start
208,1,10000,10000,208 total processes failed to start
209,1,10000,10000,209 total processes failed to start
210,1,10000,10000,210 total processes failed to start
211,1,10000,10000,211 total processes failed to start
212,1,10000,10000,212 total processes failed to start
213,1,10000,10000,213 total processes failed to start
214,1,10000,10000,214 total processes failed to start
215,1,10000,10000,215 total processes failed to start
216,1,10000,10000,216 total processes failed to start
217,1,10000,10000,217 total processes failed to start
218,1,10000,10000,218 total processes failed to start
219,1,10000,10000,219 total processes failed to start
220,1,10000,10000,220 total processes failed to start
221,1,10000,10000,221 total processes failed to start
222,1,10000,10000,222 total processes failed to start
223,1,10000,10000,223 total processes failed to start
224,1,10000,10000,224 total processes failed to start
225,1,10000,10000,225 total processes failed to start
226,1,10000,10000,226 total processes failed to start
227,1,10000,10000,227 total processes failed to start
228,1,10000,10000,228 total processes failed to start
229,1,10000,10000,229 total processes failed to start
230,1,10000,10000,230 total processes failed to start
231,1,10000,10000,231 total processes failed to start
232,1,10000,10000,232 total processes failed to start
233,1,10000,10000,233 total processes failed to start
234,1,10000,10000,234 total processes failed to start
235,1,10000,10000,235 total processes failed to start
236,1,10000,10000,236 total processes failed to start
237,1,10000,10000,237 total processes failed to start
238,1,10000,10000,238 total processes failed to start
239,1,10000,10000,239 total processes failed to start
240,1,10000,10000,240 total processes failed to start
241,1,10000,10000,241 total processes failed to start
242,1,10000,10000,242 total processes failed to start
243,1,10000,10000,243 total processes failed to start
244,1,10000,10000,244 total processes failed to start
245,1,10000,10000,245 total processes failed to start
246,1,10000,10000,246 total processes failed to start
247,1,10000,10000,247 total processes failed to start
248,1,10000,10000,248 total processes failed to start
249,1,10000,10000,249 total processes failed to start
250,1,10000,10000,250 total processes failed to start
251,1,10000,10000,251 total processes failed to start
252,1,10000,10000,252 total processes failed to start
253,1,10000,10000,253 total processes failed to start
254,1,10000,10000,254 total processes failed to start
255,1,10000,10000,255 total processes failed to start
256,1,10000,10000,256 total processes failed to start
