cores,threads,width,height,time
1,1,10000,10000,55.651090
2,1,10000,10000,39.128638
3,1,10000,10000,35.222219
4,1,10000,10000,34.600353
5,1,10000,10000,25.657679
6,1,10000,10000,24.200255
7,1,10000,10000,21.396171
8,1,10000,10000,17.430366
9,1,10000,10000,17.274401
10,1,10000,10000,15.519365
11,1,10000,10000,13.844759
12,1,10000,10000,13.584697
13,1,10000,10000,11.934729
14,1,10000,10000,11.528778
15,1,10000,10000,11.101195
16,1,10000,10000,9.620580
17,1,10000,10000,9.986414
18,1,10000,10000,9.254732
19,1,10000,10000,8.577042
20,1,10000,10000,8.658818
21,1,10000,10000,7.894754
22,1,10000,10000,7.793208
23,1,10000,10000,7.571210
24,1,10000,10000,6.821558
25,1,10000,10000,7.007034
26,1,10000,10000,6.678382
27,1,10000,10000,6.336335
28,1,10000,10000,6.312256
29,1,10000,10000,5.983143
30,1,10000,10000,5.839533
31,1,10000,10000,5.700820
32,1,10000,10000,5.355217
33,1,10000,10000,5.384196
34,1,10000,10000,5.211935
35,1,10000,10000,4.982479
36,1,10000,10000,4.962702
37,1,10000,10000,4.780574
38,1,10000,10000,4.659501
39,1,10000,10000,4.583612
40,1,10000,10000,4.379972
41,1,10000,10000,4.353676
42,1,10000,10000,4.271843
43,1,10000,10000,4.077343
44,1,10000,10000,4.085608
45,1,10000,10000,3.956677
46,1,10000,10000,3.851686
47,1,10000,10000,3.838010
48,1,10000,10000,3.699422
49,1,10000,10000,3.655236
50,1,10000,10000,3.611399
51,1,10000,10000,3.451318
52,1,10000,10000,3.464673
53,1,10000,10000,3.390601
54,1,10000,10000,3.294043
55,1,10000,10000,3.301035
56,1,10000,10000,3.177087
57,1,10000,10000,3.152755
58,1,10000,10000,3.122379
59,1,10000,10000,3.010759
60,1,10000,10000,3.040648
61,1,10000,10000,2.975447
62,1,10000,10000,2.884385
63,1,10000,10000,2.904606
64,1,10000,10000,2.811681
65,1,10000,10000,2.780824
66,1,10000,10000,2.754102
67,1,10000,10000,2.669339
68,1,10000,10000,2.669500
69,1,10000,10000,2.645875
70,1,10000,10000,2.567748
71,1,10000,10000,2.587962
72,1,10000,10000,2.524565
73,1,10000,10000,2.476986
74,1,10000,10000,2.476179
75,1,10000,10000,2.401032
76,1,10000,10000,2.397888
77,1,10000,10000,2.380326
78,1,10000,10000,2.304797
79,1,10000,10000,2.317128
80,1,10000,10000,2.290412
81,1,10000,10000,2.245142
82,1,10000,10000,2.243369
83,1,10000,10000,2.175179
84,1,10000,10000,2.175678
85,1,10000,10000,2.165291
86,1,10000,10000,2.098363
87,1,10000,10000,2.116716
88,1,10000,10000,2.081135
89,1,10000,10000,2.046983
