cores,threads,width,height,time
1,1,10000,10000,55.387499
2,1,10000,10000,27.717501
3,1,10000,10000,33.482601
4,1,10000,10000,22.438308
5,1,10000,10000,21.982208
6,1,10000,10000,16.793825
7,1,10000,10000,16.056168
8,1,10000,10000,13.625915
9,1,10000,10000,12.740071
10,1,10000,10000,11.145966
11,1,10000,10000,10.480293
12,1,10000,10000,9.396405
13,1,10000,10000,8.884976
14,1,10000,10000,8.043224
15,1,10000,10000,7.819348
16,1,10000,10000,7.072732
17,1,10000,10000,6.827149
18,1,10000,10000,6.332847
19,1,10000,10000,6.134938
20,1,10000,10000,5.714656
21,1,10000,10000,5.570384
22,1,10000,10000,5.227040
23,1,10000,10000,5.083952
24,1,10000,10000,4.812684
25,1,10000,10000,4.714052
26,1,10000,10000,4.466052
27,1,10000,10000,4.346096
28,1,10000,10000,4.141868
29,1,10000,10000,4.045909
30,1,10000,10000,3.870748
31,1,10000,10000,3.803812
32,1,10000,10000,3.658900
33,1,10000,10000,3.562714
34,1,10000,10000,3.443388
35,1,10000,10000,3.374156
36,1,10000,10000,3.261082
37,1,10000,10000,3.189060
38,1,10000,10000,3.085682
39,1,10000,10000,3.017300
40,1,10000,10000,2.931310
41,1,10000,10000,2.887035
42,1,10000,10000,2.797031
43,1,10000,10000,2.759102
44,1,10000,10000,2.670982
45,1,10000,10000,2.633497
46,1,10000,10000,2.561892
47,1,10000,10000,2.533353
48,1,10000,10000,2.459775
49,1,10000,10000,2.422184
50,1,10000,10000,2.363683
51,1,10000,10000,2.330633
52,1,10000,10000,2.267944
53,1,10000,10000,2.254045
54,1,10000,10000,2.192244
55,1,10000,10000,2.171318
56,1,10000,10000,2.126163
57,1,10000,10000,2.088222
58,1,10000,10000,2.039285
59,1,10000,10000,2.019041
60,1,10000,10000,1.981244
61,1,10000,10000,1.957492
62,1,10000,10000,1.913247
63,1,10000,10000,1.900089
64,1,10000,10000,1.851455
65,1,10000,10000,1.843746
66,1,10000,10000,1.811496
67,1,10000,10000,1.784174
68,1,10000,10000,1.749133
69,1,10000,10000,1.741478
70,1,10000,10000,1.700883
71,1,10000,10000,1.693512
72,1,10000,10000,1.658761
73,1,10000,10000,1.644355
74,1,10000,10000,1.607678
75,1,10000,10000,1.597437
76,1,10000,10000,1.578704
77,1,10000,10000,1.566650
78,1,10000,10000,1.533967
79,1,10000,10000,1.530453
80,1,10000,10000,1.494008
81,1,10000,10000,1.484296
82,1,10000,10000,1.460617
83,1,10000,10000,1.447620
84,1,10000,10000,1.424204
85,1,10000,10000,1.426173
86,1,10000,10000,1.393405
87,1,10000,10000,1.390157
88,1,10000,10000,1.371133
89,1,10000,10000,1.354389
90,1,10000,10000,1.333931
91,1,10000,10000,1.330684
92,1,10000,10000,1.312300
93,1,10000,10000,1.304810
94,1,10000,10000,1.280711
95,1,10000,10000,1.274426
96,1,10000,10000,1.255473
97,1,10000,10000,1.250680
98,1,10000,10000,1.228659
99,1,10000,10000,1.229771
100,1,10000,10000,1.204540
101,1,10000,10000,1.203278
102,1,10000,10000,1.183623
103,1,10000,10000,1.180108
104,1,10000,10000,1.162469
105,1,10000,10000,1.155687
106,1,10000,10000,1.141210
107,1,10000,10000,1.130551
108,1,10000,10000,1.130570
109,1,10000,10000,1.122249
110,1,10000,10000,1.103020
111,1,10000,10000,1.098683
112,1,10000,10000,1.086293
113,1,10000,10000,1.072223
114,1,10000,10000,1.075703
115,1,10000,10000,1.062731
116,1,10000,10000,1.046514
117,1,10000,10000,1.035677
118,1,10000,10000,1.038132
119,1,10000,10000,1.031006
120,1,10000,10000,1.017283
121,1,10000,10000,1.013433
122,1,10000,10000,0.997877
123,1,10000,10000,0.991753
124,1,10000,10000,0.994002
125,1,10000,10000,0.980658
126,1,10000,10000,0.967864
127,1,10000,10000,0.965904
128,1,10000,10000,0.954284
129,1,10000,10000,0.955952
130,1,10000,10000,0.942136
131,1,10000,10000,0.946917
132,1,10000,10000,0.944820
133,1,10000,10000,0.924801
134,1,10000,10000,0.932819
135,1,10000,10000,0.916556
136,1,10000,10000,0.913414
137,1,10000,10000,0.900960
138,1,10000,10000,0.927379
139,1,10000,10000,0.889691
140,1,10000,10000,0.876801
141,1,10000,10000,0.886264
142,1,10000,10000,0.864681
143,1,10000,10000,0.865344
144,1,10000,10000,0.856719
145,1,10000,10000,0.857433
146,1,10000,10000,0.842865
147,1,10000,10000,0.846250
148,1,10000,10000,0.844054
149,1,10000,10000,0.832366
150,1,10000,10000,0.852363
151,1,10000,10000,0.816624
152,1,10000,10000,0.822874
153,1,10000,10000,0.820222
154,1,10000,10000,0.809023
155,1,10000,10000,0.803380
156,1,10000,10000,0.790796
157,1,10000,10000,0.788657
158,1,10000,10000,0.785085
159,1,10000,10000,0.785497
160,1,10000,10000,0.783989
161,1,10000,10000,0.770747
162,1,10000,10000,0.771256
163,1,10000,10000,0.756144
164,1,10000,10000,0.755466
165,1,10000,10000,0.757651
166,1,10000,10000,0.747388
167,1,10000,10000,0.749416
168,1,10000,10000,0.747532
169,1,10000,10000,0.744887
170,1,10000,10000,0.739799
171,1,10000,10000,0.723243
172,1,10000,10000,0.722753
173,1,10000,10000,0.725873
174,1,10000,10000,0.717536
175,1,10000,10000,0.715706
176,1,10000,10000,0.712754
177,1,10000,10000,0.710862
178,1,10000,10000,0.711551
179,1,10000,10000,0.704533
180,1,10000,10000,0.702594
181,1,10000,10000,0.688940
182,1,10000,10000,0.687248
183,1,10000,10000,0.689904
184,1,10000,10000,0.692730
185,1,10000,10000,0.685836
186,1,10000,10000,0.704860
187,1,10000,10000,0.662742
188,1,10000,10000,0.664716
189,1,10000,10000,0.671326
190,1,10000,10000,0.674116
191,1,10000,10000,0.661173
192,1,10000,10000,0.652649
193,1,10000,10000,0.651716
194,1,10000,10000,0.659085
195,1,10000,10000,0.651179
196,1,10000,10000,0.661347
197,1,10000,10000,0.640691
198,1,10000,10000,0.641203
199,1,10000,10000,0.635007
200,1,10000,10000,0.637814
201,1,10000,10000,0.629038
202,1,10000,10000,0.631604
203,1,10000,10000,0.612772
204,1,10000,10000,0.629127
205,1,10000,10000,0.624891
206,1,10000,10000,0.614930
207,1,10000,10000,0.606310
208,1,10000,10000,0.605891
209,1,10000,10000,0.615016
210,1,10000,10000,0.618838
211,1,10000,10000,0.597049
212,1,10000,10000,0.597114
213,1,10000,10000,0.596995
214,1,10000,10000,0.601068
215,1,10000,10000,0.614224
216,1,10000,10000,0.584302
217,1,10000,10000,0.587929
218,1,10000,10000,0.584101
219,1,10000,10000,0.588205
220,1,10000,10000,0.580918
221,1,10000,10000,0.573130
222,1,10000,10000,0.570811
223,1,10000,10000,0.573401
224,1,10000,10000,0.582058
225,1,10000,10000,0.575407
226,1,10000,10000,0.564539
227,1,10000,10000,0.558907
228,1,10000,10000,0.562776
229,1,10000,10000,0.574101
230,1,10000,10000,0.564359
231,1,10000,10000,0.551215
232,1,10000,10000,0.549035
233,1,10000,10000,0.546111
234,1,10000,10000,0.555026
235,1,10000,10000,0.564042
236,1,10000,10000,0.546455
237,1,10000,10000,0.533924
238,1,10000,10000,0.542833
239,1,10000,10000,0.542678
240,1,10000,10000,0.550144
241,1,10000,10000,0.531192
242,1,10000,10000,0.523063
243,1,10000,10000,0.529474
244,1,10000,10000,0.532445
245,1,10000,10000,0.540017
246,1,10000,10000,0.530194
247,1,10000,10000,0.516368
248,1,10000,10000,0.521916
249,1,10000,10000,0.521494
250,1,10000,10000,0.533558
251,1,10000,10000,0.519039
252,1,10000,10000,0.518819
253,1,10000,10000,0.528972
254,1,10000,10000,0.516526
255,1,10000,10000,0.529043
256,1,10000,10000,0.520824
