cores,threads,width,height,time
1,1,1000,1000,
2,1,1414,1414,2 total processes failed to start
3,1,1732,1732,3 total processes failed to start
4,1,2000,2000,4 total processes failed to start
5,1,2236,2236,5 total processes failed to start
6,1,2449,2449,6 total processes failed to start
7,1,2645,2645,7 total processes failed to start
8,1,2828,2828,8 total processes failed to start
9,1,3000,3000,9 total processes failed to start
10,1,3162,3162,10 total processes failed to start
11,1,3316,3316,11 total processes failed to start
12,1,3464,3464,12 total processes failed to start
13,1,3605,3605,13 total processes failed to start
14,1,3741,3741,14 total processes failed to start
15,1,3872,3872,15 total processes failed to start
16,1,4000,4000,16 total processes failed to start
17,1,4123,4123,17 total processes failed to start
18,1,4242,4242,18 total processes failed to start
19,1,4358,4358,19 total processes failed to start
20,1,4472,4472,20 total processes failed to start
21,1,4582,4582,21 total processes failed to start
22,1,4690,4690,22 total processes failed to start
23,1,4795,4795,23 total processes failed to start
24,1,4898,4898,24 total processes failed to start
25,1,5000,5000,25 total processes failed to start
26,1,5099,5099,26 total processes failed to start
27,1,5196,5196,27 total processes failed to start
28,1,5291,5291,28 total processes failed to start
29,1,5385,5385,29 total processes failed to start
30,1,5477,5477,30 total processes failed to start
31,1,5567,5567,31 total processes failed to start
32,1,5656,5656,32 total processes failed to start
33,1,5744,5744,33 total processes failed to start
34,1,5830,5830,34 total processes failed to start
35,1,5916,5916,35 total processes failed to start
36,1,6000,6000,36 total processes failed to start
37,1,6082,6082,37 total processes failed to start
38,1,6164,6164,38 total processes failed to start
39,1,6244,6244,39 total processes failed to start
40,1,6324,6324,40 total processes failed to start
41,1,6403,6403,41 total processes failed to start
42,1,6480,6480,42 total processes failed to start
43,1,6557,6557,43 total processes failed to start
44,1,6633,6633,44 total processes failed to start
45,1,6708,6708,45 total processes failed to start
46,1,6782,6782,46 total processes failed to start
47,1,6855,6855,47 total processes failed to start
48,1,6928,6928,48 total processes failed to start
49,1,7000,7000,49 total processes failed to start
50,1,7071,7071,50 total processes failed to start
51,1,7141,7141,51 total processes failed to start
52,1,7211,7211,52 total processes failed to start
53,1,7280,7280,53 total processes failed to start
54,1,7348,7348,54 total processes failed to start
55,1,7416,7416,55 total processes failed to start
56,1,7483,7483,56 total processes failed to start
57,1,7549,7549,57 total processes failed to start
58,1,7615,7615,58 total processes failed to start
59,1,7681,7681,59 total processes failed to start
60,1,7745,7745,60 total processes failed to start
61,1,7810,7810,61 total processes failed to start
62,1,7874,7874,62 total processes failed to start
63,1,7937,7937,63 total processes failed to start
64,1,8000,8000,64 total processes failed to start
65,1,8062,8062,65 total processes failed to start
66,1,8124,8124,66 total processes failed to start
67,1,8185,8185,67 total processes failed to start
68,1,8246,8246,68 total processes failed to start
69,1,8306,8306,69 total processes failed to start
70,1,8366,8366,70 total processes failed to start
71,1,8426,8426,71 total processes failed to start
72,1,8485,8485,72 total processes failed to start
73,1,8544,8544,73 total processes failed to start
74,1,8602,8602,74 total processes failed to start
75,1,8660,8660,75 total processes failed to start
76,1,8717,8717,76 total processes failed to start
77,1,8774,8774,77 total processes failed to start
78,1,8831,8831,78 total processes failed to start
79,1,8888,8888,79 total processes failed to start
80,1,8944,8944,80 total processes failed to start
81,1,9000,9000,81 total processes failed to start
82,1,9055,9055,82 total processes failed to start
83,1,9110,9110,83 total processes failed to start
84,1,9165,9165,84 total processes failed to start
85,1,9219,9219,85 total processes failed to start
86,1,9273,9273,86 total processes failed to start
87,1,9327,9327,87 total processes failed to start
