cores,threads,width,height,time
1,1,1000,1000,0.557192
2,1,1414,1414,0.784967
3,1,1732,1732,1.060830
4,1,2000,2000,1.381724
5,1,2236,2236,1.287630
6,1,2449,2449,1.455729
7,1,2645,2645,1.508204
8,1,2828,2828,1.392252
9,1,3000,3000,1.557246
10,1,3162,3162,1.553878
11,1,3316,3316,1.525643
12,1,3464,3464,1.634264
13,1,3605,3605,1.548975
14,1,3741,3741,1.617365
15,1,3872,3872,1.663976
16,1,4000,4000,1.536874
17,1,4123,4123,1.693387
18,1,4242,4242,1.664064
19,1,4358,4358,1.629335
20,1,4472,4472,1.734657
21,1,4582,4582,1.660486
22,1,4690,4690,1.716097
23,1,4795,4795,1.740741
24,1,4898,4898,1.643870
25,1,5000,5000,1.754570
26,1,5099,5099,1.743134
27,1,5196,5196,1.713900
28,1,5291,5291,1.769321
29,1,5385,5385,1.737079
30,1,5477,5477,1.753384
31,1,5567,5567,1.769313
32,1,5656,5656,1.719788
33,1,5744,5744,1.774070
34,1,5830,5830,1.766805
35,1,5916,5916,1.738329
36,1,6000,6000,1.795713
37,1,6082,6082,1.763270
38,1,6164,6164,1.770509
39,1,6244,6244,1.786102
40,1,6324,6324,1.754628
41,1,6403,6403,1.786364
42,1,6480,6480,1.792462
43,1,6557,6557,1.760294
44,1,6633,6633,1.803836
45,1,6708,6708,1.783190
46,1,6782,6782,1.782462
47,1,6855,6855,1.808456
48,1,6928,6928,1.775217
49,1,7000,7000,1.802702
50,1,7071,7071,1.796196
51,1,7141,7141,1.767963
52,1,7211,7211,1.818145
53,1,7280,7280,1.789145
54,1,7348,7348,1.782500
55,1,7416,7416,1.815814
56,1,7483,7483,1.770957
57,1,7549,7549,1.803306
58,1,7615,7615,1.818255
59,1,7681,7681,1.776463
60,1,7745,7745,1.817991
61,1,7810,7810,1.818576
62,1,7874,7874,1.786666
63,1,7937,7937,1.822877
64,1,8000,8000,1.811567
65,1,8062,8062,1.802674
66,1,8124,8124,1.826635
67,1,8185,8185,1.794423
68,1,8246,8246,1.816823
69,1,8306,8306,1.818682
70,1,8366,8366,1.796053
71,1,8426,8426,1.837608
72,1,8485,8485,1.816781
73,1,8544,8544,1.806940
74,1,8602,8602,1.830413
75,1,8660,8660,1.791026
76,1,8717,8717,1.835635
77,1,8774,8774,1.836143
78,1,8831,8831,1.797403
79,1,8888,8888,1.829682
80,1,8944,8944,1.824430
81,1,9000,9000,1.812307
82,1,9055,9055,1.835283
83,1,9110,9110,1.815004
84,1,9165,9165,1.829520
85,1,9219,9219,1.824310
86,1,9273,9273,1.818015
87,1,9327,9327,1.840789
88,1,9380,9380,1.815013
89,1,9433,9433,1.816781
90,1,9486,9486,1.835378
91,1,9539,9539,1.827594
92,1,9591,9591,1.832307
93,1,9643,9643,1.849928
94,1,9695,9695,1.816773
95,1,9746,9746,1.835401
96,1,9797,9797,1.843571
97,1,9848,9848,1.829028
98,1,9899,9899,1.846833
99,1,9949,9949,1.820224
100,1,10000,10000,1.835352
101,1,10049,10049,1.836450
102,1,10099,10099,1.837733
103,1,10148,10148,1.842143
104,1,10198,10198,1.848558
105,1,10246,10246,1.831072
106,1,10295,10295,1.852681
107,1,10344,10344,1.841968
108,1,10392,10392,1.841261
109,1,10440,10440,1.855717
110,1,10488,10488,1.830263
111,1,10535,10535,1.851482
112,1,10583,10583,1.839512
113,1,10630,10630,1.837525
114,1,10677,10677,1.863018
115,1,10723,10723,1.840253
116,1,10770,10770,1.849773
117,1,10816,10816,1.847413
118,1,10862,10862,1.844106
119,1,10908,10908,1.865151
120,1,10954,10954,1.852680
121,1,11000,11000,1.841073
122,1,11045,11045,1.852413
123,1,11090,11090,1.851752
124,1,11135,11135,1.857561
125,1,11180,11180,1.852039
126,1,11224,11224,1.851736
127,1,11269,11269,1.865624
128,1,11313,11313,1.859417
129,1,11357,11357,1.865569
130,1,11401,11401,1.874074
131,1,11445,11445,1.850445
132,1,11489,11489,1.848625
133,1,11532,11532,1.869999
134,1,11575,11575,1.884108
135,1,11618,11618,1.858711
136,1,11661,11661,1.874056
137,1,11704,11704,1.843441
138,1,11747,11747,1.866007
139,1,11789,11789,1.892051
140,1,11832,11832,1.850156
141,1,11874,11874,1.974211
142,1,11916,11916,1.869518
143,1,11958,11958,1.859239
144,1,12000,12000,1.860379
145,1,12041,12041,1.876829
146,1,12083,12083,1.937813
147,1,12124,12124,1.852208
148,1,12165,12165,2.084081
149,1,12206,12206,1.874585
150,1,12247,12247,1.885924
151,1,12288,12288,1.862869
152,1,12328,12328,1.867937
153,1,12369,12369,1.886289
154,1,12409,12409,1.963337
155,1,12449,12449,2.055585
156,1,12489,12489,2.184112
157,1,12529,12529,1.896756
158,1,12569,12569,1.885895
159,1,12609,12609,1.874544
160,1,12649,12649,1.885412
161,1,12688,12688,1.871544
162,1,12727,12727,2.031108
163,1,12767,12767,2.143293
164,1,12806,12806,1.874883
165,1,12845,12845,1.887964
166,1,12884,12884,1.855688
167,1,12922,12922,1.870594
168,1,12961,12961,1.892560
169,1,13000,13000,1.877977
170,1,13038,13038,1.996245
171,1,13076,13076,1.869298
172,1,13114,13114,2.221058
173,1,13152,13152,1.873750
174,1,13190,13190,1.887027
175,1,13228,13228,1.871321
176,1,13266,13266,1.881409
177,1,13304,13304,1.886521
178,1,13341,13341,1.892093
179,1,13379,13379,1.942123
180,1,13416,13416,1.865729
181,1,13453,13453,2.408598
182,1,13490,13490,1.892642
183,1,13527,13527,1.885152
184,1,13564,13564,1.898830
185,1,13601,13601,1.877548
186,1,13638,13638,1.880149
187,1,13674,13674,1.888598
188,1,13711,13711,1.931216
189,1,13747,13747,1.990699
190,1,13784,13784,1.873425
191,1,13820,13820,1.861320
192,1,13856,13856,1.881266
193,1,13892,13892,1.892071
194,1,13928,13928,1.895690
195,1,13964,13964,1.869058
196,1,14000,14000,1.874437
197,1,14035,14035,1.915824
198,1,14071,14071,1.917230
199,1,14106,14106,1.889787
200,1,14142,14142,1.907860
201,1,14177,14177,2.213640
202,1,14212,14212,1.877698
203,1,14247,14247,2.743063
204,1,14282,14282,1.936743
205,1,14317,14317,1.954099
206,1,14352,14352,1.922011
207,1,14387,14387,1.946124
208,1,14422,14422,1.936317
