cores,threads,width,height,time
1,1,1000,1000,0.557150
2,1,1414,1414,0.559852
3,1,1732,1732,1.011444
4,1,2000,2000,0.901490
5,1,2236,2236,1.105557
6,1,2449,2449,1.012814
7,1,2645,2645,1.127214
8,1,2828,2828,1.091892
9,1,3000,3000,1.150054
10,1,3162,3162,1.111964
11,1,3316,3316,1.158730
12,1,3464,3464,1.133291
13,1,3605,3605,1.169515
14,1,3741,3741,1.144348
15,1,3872,3872,1.177390
16,1,4000,4000,1.133562
17,1,4123,4123,1.165341
18,1,4242,4242,1.143893
19,1,4358,4358,1.167599
20,1,4472,4472,1.149004
21,1,4582,4582,1.170457
22,1,4690,4690,1.150617
23,1,4795,4795,1.169447
24,1,4898,4898,1.152856
25,1,5000,5000,1.173627
26,1,5099,5099,1.158124
27,1,5196,5196,1.173919
28,1,5291,5291,1.161470
29,1,5385,5385,1.178348
30,1,5477,5477,1.169800
31,1,5567,5567,1.179883
32,1,5656,5656,1.174373
33,1,5744,5744,1.183712
34,1,5830,5830,1.170715
35,1,5916,5916,1.184300
36,1,6000,6000,1.179500
37,1,6082,6082,1.181725
38,1,6164,6164,1.177705
39,1,6244,6244,1.184593
40,1,6324,6324,1.178294
41,1,6403,6403,1.192991
42,1,6480,6480,1.190099
43,1,6557,6557,1.179512
44,1,6633,6633,1.179816
45,1,6708,6708,1.187858
46,1,6782,6782,1.181666
47,1,6855,6855,1.190016
48,1,6928,6928,1.182188
49,1,7000,7000,1.189112
50,1,7071,7071,1.178716
51,1,7141,7141,1.189725
52,1,7211,7211,1.184135
53,1,7280,7280,1.190670
54,1,7348,7348,1.181214
55,1,7416,7416,1.192258
56,1,7483,7483,1.188514
57,1,7549,7549,1.186563
58,1,7615,7615,1.181058
59,1,7681,7681,1.191126
60,1,7745,7745,1.182846
61,1,7810,7810,1.197270
62,1,7874,7874,1.186248
63,1,7937,7937,1.195046
64,1,8000,8000,1.191006
65,1,8062,8062,1.197094
66,1,8124,8124,1.189243
67,1,8185,8185,1.199518
68,1,8246,8246,1.190099
69,1,8306,8306,1.195552
70,1,8366,8366,1.202051
71,1,8426,8426,1.207291
72,1,8485,8485,1.195454
73,1,8544,8544,1.201312
74,1,8602,8602,1.191630
75,1,8660,8660,1.198391
76,1,8717,8717,1.196513
77,1,8774,8774,1.204368
78,1,8831,8831,1.193268
79,1,8888,8888,1.210077
80,1,8944,8944,1.197195
81,1,9000,9000,1.205358
82,1,9055,9055,1.194995
83,1,9110,9110,1.208827
84,1,9165,9165,1.194369
85,1,9219,9219,1.198189
86,1,9273,9273,1.202105
87,1,9327,9327,1.205093
88,1,9380,9380,1.210455
89,1,9433,9433,1.208043
90,1,9486,9486,1.203007
91,1,9539,9539,1.208062
92,1,9591,9591,1.198223
93,1,9643,9643,1.213108
94,1,9695,9695,1.198809
95,1,9746,9746,1.216366
96,1,9797,9797,1.198719
97,1,9848,9848,1.218925
98,1,9899,9899,1.200758
99,1,9949,9949,1.204582
100,1,10000,10000,1.207014
101,1,10049,10049,1.204481
102,1,10099,10099,1.203933
103,1,10148,10148,1.221430
104,1,10198,10198,1.207485
105,1,10246,10246,1.220917
106,1,10295,10295,1.204798
107,1,10344,10344,1.219918
108,1,10392,10392,1.210290
109,1,10440,10440,1.220249
110,1,10488,10488,1.208662
111,1,10535,10535,1.216692
112,1,10583,10583,1.210719
113,1,10630,10630,1.221835
114,1,10677,10677,1.217522
115,1,10723,10723,1.215681
116,1,10770,10770,1.217684
117,1,10816,10816,1.217857
118,1,10862,10862,1.215558
119,1,10908,10908,1.227128
120,1,10954,10954,1.218401
121,1,11000,11000,1.225712
122,1,11045,11045,1.223280
123,1,11090,11090,1.219156
124,1,11135,11135,1.218056
125,1,11180,11180,1.218844
126,1,11224,11224,1.220386
127,1,11269,11269,1.224283
128,1,11313,11313,1.217151
129,1,11357,11357,1.228510
130,1,11401,11401,1.226766
131,1,11445,11445,1.219477
132,1,11489,11489,1.216892
133,1,11532,11532,1.232521
134,1,11575,11575,1.240494
135,1,11618,11618,1.272103
136,1,11661,11661,1.231394
137,1,11704,11704,1.222202
138,1,11747,11747,1.221052
139,1,11789,11789,1.241808
140,1,11832,11832,1.237190
141,1,11874,11874,1.349670
142,1,11916,11916,1.229698
143,1,11958,11958,1.238348
144,1,12000,12000,1.226012
145,1,12041,12041,1.236323
146,1,12083,12083,1.272739
147,1,12124,12124,1.223713
148,1,12165,12165,1.356263
149,1,12206,12206,1.238886
150,1,12247,12247,1.244662
151,1,12288,12288,1.228234
152,1,12328,12328,1.231227
153,1,12369,12369,1.246851
154,1,12409,12409,1.335069
155,1,12449,12449,1.461270
156,1,12489,12489,1.518979
157,1,12529,12529,1.244928
158,1,12569,12569,1.249866
159,1,12609,12609,1.240424
160,1,12649,12649,1.239461
161,1,12688,12688,1.244495
162,1,12727,12727,1.361310
163,1,12767,12767,1.418534
164,1,12806,12806,1.241651
165,1,12845,12845,1.251930
166,1,12884,12884,1.251521
167,1,12922,12922,1.238145
168,1,12961,12961,1.248103
169,1,13000,13000,1.244993
170,1,13038,13038,1.333198
171,1,13076,13076,1.232444
172,1,13114,13114,1.521020
173,1,13152,13152,1.251597
174,1,13190,13190,1.252868
175,1,13228,13228,1.246893
176,1,13266,13266,1.249015
177,1,13304,13304,1.245051
178,1,13341,13341,1.259207
179,1,13379,13379,1.314016
180,1,13416,13416,1.255476
181,1,13453,13453,1.619713
182,1,13490,13490,1.245714
183,1,13527,13527,1.257770
184,1,13564,13564,1.260592
185,1,13601,13601,1.271082
186,1,13638,13638,1.254290
187,1,13674,13674,1.255133
188,1,13711,13711,1.288453
189,1,13747,13747,1.347483
190,1,13784,13784,1.260205
191,1,13820,13820,1.232477
192,1,13856,13856,1.241944
193,1,13892,13892,1.245047
194,1,13928,13928,1.258265
195,1,13964,13964,1.258715
196,1,14000,14000,1.255942
197,1,14035,14035,1.279164
198,1,14071,14071,1.317798
199,1,14106,14106,1.265763
200,1,14142,14142,1.265781
201,1,14177,14177,1.585254
202,1,14212,14212,1.249251
203,1,14247,14247,1.776577
204,1,14282,14282,1.260592
205,1,14317,14317,1.267854
206,1,14352,14352,1.268654
207,1,14387,14387,1.287347
208,1,14422,14422,1.266767
209,1,14456,14456,1.259787
210,1,14491,14491,1.281035
211,1,14525,14525,1.306340
212,1,14560,14560,1.267226
213,1,14594,14594,1.639877
214,1,14628,14628,1.256404
215,1,14662,14662,2.020802
216,1,14696,14696,1.250400
217,1,14730,14730,1.267796
218,1,14764,14764,1.261719
219,1,14798,14798,1.283773
220,1,14832,14832,1.256400
221,1,14866,14866,1.265288
222,1,14899,14899,1.299012
223,1,14933,14933,1.304099
224,1,14966,14966,1.277492
225,1,15000,15000,1.269448
226,1,15033,15033,1.582665
227,1,15066,15066,1.271200
228,1,15099,15099,2.085156
229,1,15132,15132,1.272149
230,1,15165,15165,1.280789
231,1,15198,15198,1.278459
232,1,15231,15231,1.301240
233,1,15264,15264,1.281165
234,1,15297,15297,1.292194
235,1,15329,15329,1.307880
236,1,15362,15362,1.283060
237,1,15394,15394,1.286772
238,1,15427,15427,1.343051
239,1,15459,15459,1.439833
240,1,15491,15491,1.618049
241,1,15524,15524,1.271676
242,1,15556,15556,1.256829
243,1,15588,15588,1.254080
244,1,15620,15620,1.291100
245,1,15652,15652,1.266870
246,1,15684,15684,1.272699
247,1,15716,15716,1.280246
248,1,15748,15748,1.282267
249,1,15779,15779,1.315994
250,1,15811,15811,1.323893
251,1,15842,15842,1.304970
252,1,15874,15874,1.309270
253,1,15905,15905,1.384287
254,1,15937,15937,1.509485
255,1,15968,15968,1.317394
256,1,16000,16000,1.340734
