cores,threads,width,height,time
1,1,10000,10000,55.900944
1,2,10000,10000,27.791091
1,3,10000,10000,18.539072
1,4,10000,10000,13.930152
1,5,10000,10000,11.159241
1,6,10000,10000,9.300270
1,7,10000,10000,7.970337
1,8,10000,10000,7.009819
1,9,10000,10000,6.228220
1,10,10000,10000,5.636929
1,11,10000,10000,5.093770
1,12,10000,10000,4.674495
1,13,10000,10000,4.320603
1,14,10000,10000,4.012077
1,15,10000,10000,3.749371
1,16,10000,10000,3.523607
1,17,10000,10000,3.316503
1,18,10000,10000,3.137959
1,19,10000,10000,2.968785
1,20,10000,10000,2.827389
1,21,10000,10000,2.696067
1,22,10000,10000,2.581033
1,23,10000,10000,2.481439
1,24,10000,10000,2.371679
1,25,10000,10000,2.282483
1,26,10000,10000,2.202555
1,27,10000,10000,2.120649
1,28,10000,10000,2.059866
1,29,10000,10000,1.990117
1,30,10000,10000,1.917558
1,31,10000,10000,1.850309
1,32,10000,10000,1.802425
1,33,10000,10000,1.726871
1,34,10000,10000,1.678023
1,35,10000,10000,1.630374
1,36,10000,10000,1.594427
1,37,10000,10000,1.544602
1,38,10000,10000,1.505093
1,39,10000,10000,1.468689
1,40,10000,10000,1.435022
1,41,10000,10000,1.400526
1,42,10000,10000,1.366434
1,43,10000,10000,1.335575
1,44,10000,10000,1.307193
1,45,10000,10000,1.277763
1,46,10000,10000,1.250758
1,47,10000,10000,1.225437
1,48,10000,10000,1.201115
1,49,10000,10000,1.179427
1,50,10000,10000,1.155865
1,51,10000,10000,1.134725
1,52,10000,10000,1.112731
1,53,10000,10000,1.092418
1,54,10000,10000,1.073431
1,55,10000,10000,1.056260
1,56,10000,10000,1.039402
1,57,10000,10000,1.020464
1,58,10000,10000,1.003184
1,59,10000,10000,0.986892
1,60,10000,10000,0.976619
1,61,10000,10000,0.958029
1,62,10000,10000,0.943923
1,63,10000,10000,0.928756
1,64,10000,10000,0.915610
1,65,10000,10000,0.914882
1,66,10000,10000,0.918672
1,67,10000,10000,0.916338
1,68,10000,10000,0.916288
1,69,10000,10000,0.915497
1,70,10000,10000,0.915306
1,71,10000,10000,0.915144
1,72,10000,10000,0.918378
1,73,10000,10000,0.916432
1,74,10000,10000,0.916203
1,75,10000,10000,0.916024
1,76,10000,10000,0.914979
1,77,10000,10000,0.915527
1,78,10000,10000,0.915679
1,79,10000,10000,0.918872
1,80,10000,10000,0.917524
1,81,10000,10000,0.916015
1,82,10000,10000,0.917410
1,83,10000,10000,0.915356
1,84,10000,10000,0.916559
1,85,10000,10000,0.916052
1,86,10000,10000,0.919305
1,87,10000,10000,0.916141
1,88,10000,10000,0.916761
1,89,10000,10000,0.916278
1,90,10000,10000,0.916570
1,91,10000,10000,0.917158
1,92,10000,10000,0.919153
1,93,10000,10000,0.917139
1,94,10000,10000,0.917207
1,95,10000,10000,0.916575
1,96,10000,10000,0.916579
1,97,10000,10000,0.916123
1,98,10000,10000,0.917665
1,99,10000,10000,0.919278
1,100,10000,10000,0.917576
1,101,10000,10000,0.918009
1,102,10000,10000,0.917985
1,103,10000,10000,0.916539
1,104,10000,10000,0.917366
1,105,10000,10000,0.916628
1,106,10000,10000,0.919806
1,107,10000,10000,0.918035
1,108,10000,10000,0.917984
1,109,10000,10000,0.917698
1,110,10000,10000,0.917153
1,111,10000,10000,0.916703
1,112,10000,10000,0.916977
1,113,10000,10000,0.917572
1,114,10000,10000,0.917789
1,115,10000,10000,0.918383
1,116,10000,10000,0.917755
1,117,10000,10000,0.917201
1,118,10000,10000,0.916960
1,119,10000,10000,0.916782
1,120,10000,10000,0.920413
1,121,10000,10000,0.918692
1,122,10000,10000,0.918066
1,123,10000,10000,0.917599
1,124,10000,10000,0.918081
1,125,10000,10000,0.918318
1,126,10000,10000,0.921490
1,127,10000,10000,0.922503
1,128,10000,10000,0.919256
