cores,threads,width,height,time
1,1,10000,10000,55.455762
1,2,10000,10000,27.719673
1,3,10000,10000,18.492875
1,4,10000,10000,13.886751
1,5,10000,10000,11.130910
1,6,10000,10000,9.296378
1,7,10000,10000,7.963434
1,8,10000,10000,6.990333
1,9,10000,10000,6.209641
1,10,10000,10000,5.595912
1,11,10000,10000,5.094824
1,12,10000,10000,4.672847
1,13,10000,10000,4.315782
1,14,10000,10000,4.013894
1,15,10000,10000,3.748824
1,16,10000,10000,3.518528
1,17,10000,10000,3.319584
1,18,10000,10000,3.134492
1,19,10000,10000,2.971446
1,20,10000,10000,2.829172
1,21,10000,10000,2.696656
1,22,10000,10000,2.578426
1,23,10000,10000,2.476774
1,24,10000,10000,2.372302
1,25,10000,10000,2.280400
1,26,10000,10000,2.204999
1,27,10000,10000,2.132659
1,28,10000,10000,2.063334
1,29,10000,10000,2.001933
1,30,10000,10000,1.935673
1,31,10000,10000,1.844082
1,32,10000,10000,1.780652
1,33,10000,10000,1.737629
1,34,10000,10000,1.680597
1,35,10000,10000,1.632715
1,36,10000,10000,1.594270
1,37,10000,10000,1.548561
1,38,10000,10000,1.506905
1,39,10000,10000,1.471761
1,40,10000,10000,1.433191
1,41,10000,10000,1.400023
1,42,10000,10000,1.368323
1,43,10000,10000,1.338077
1,44,10000,10000,1.308078
1,45,10000,10000,1.280719
1,46,10000,10000,1.253993
1,47,10000,10000,1.228750
1,48,10000,10000,1.203998
1,49,10000,10000,1.180402
1,50,10000,10000,1.157420
1,51,10000,10000,1.137758
1,52,10000,10000,1.115457
1,53,10000,10000,1.095907
1,54,10000,10000,1.075980
1,55,10000,10000,1.057344
1,56,10000,10000,1.039776
1,57,10000,10000,1.022403
1,58,10000,10000,1.007766
1,59,10000,10000,0.989460
1,60,10000,10000,0.975683
1,61,10000,10000,0.959819
1,62,10000,10000,0.944494
1,63,10000,10000,0.930680
1,64,10000,10000,0.917192
1,65,10000,10000,0.921625
1,66,10000,10000,0.917034
1,67,10000,10000,0.917871
1,68,10000,10000,0.917728
1,69,10000,10000,0.917687
1,70,10000,10000,0.917082
1,71,10000,10000,0.916936
1,72,10000,10000,0.917814
1,73,10000,10000,0.917822
1,74,10000,10000,0.918072
1,75,10000,10000,0.918352
1,76,10000,10000,0.918098
1,77,10000,10000,0.917838
1,78,10000,10000,0.918127
1,79,10000,10000,0.918885
1,80,10000,10000,0.923025
1,81,10000,10000,0.918451
1,82,10000,10000,0.918437
1,83,10000,10000,0.918277
1,84,10000,10000,0.919340
1,85,10000,10000,0.920153
1,86,10000,10000,0.918767
1,87,10000,10000,0.918995
1,88,10000,10000,0.918572
1,89,10000,10000,0.919311
1,90,10000,10000,0.918882
1,91,10000,10000,0.918981
1,92,10000,10000,0.919027
1,93,10000,10000,0.919038
1,94,10000,10000,0.920985
1,95,10000,10000,0.919270
1,96,10000,10000,0.919707
1,97,10000,10000,0.919030
1,98,10000,10000,0.919376
1,99,10000,10000,0.920545
1,100,10000,10000,0.919850
1,101,10000,10000,0.920154
1,102,10000,10000,0.919490
1,103,10000,10000,0.919442
1,104,10000,10000,0.919470
1,105,10000,10000,0.919702
1,106,10000,10000,0.920106
1,107,10000,10000,0.919974
1,108,10000,10000,0.919463
1,109,10000,10000,0.919835
1,110,10000,10000,0.919358
1,111,10000,10000,0.920249
1,112,10000,10000,0.919887
1,113,10000,10000,0.923887
1,114,10000,10000,0.919940
1,115,10000,10000,0.920731
1,116,10000,10000,0.919732
1,117,10000,10000,0.920282
1,118,10000,10000,0.919947
1,119,10000,10000,0.920231
1,120,10000,10000,0.920107
1,121,10000,10000,0.920835
1,122,10000,10000,0.920310
1,123,10000,10000,0.920658
1,124,10000,10000,0.920609
1,125,10000,10000,0.920412
1,126,10000,10000,0.921091
1,127,10000,10000,0.920284
1,128,10000,10000,0.921000
