cores,threads,width,height,time
1,1,1000,1000,
1,2,1414,1414,
1,3,1732,1732,
1,4,2000,2000,
1,5,2236,2236,
1,6,2449,2449,
1,7,2645,2645,
1,8,2828,2828,
1,9,3000,3000,
1,10,3162,3162,
1,11,3316,3316,
1,12,3464,3464,
1,13,3605,3605,
1,14,3741,3741,
1,15,3872,3872,
1,16,4000,4000,
1,17,4123,4123,
1,18,4242,4242,
1,19,4358,4358,
1,20,4472,4472,
1,21,4582,4582,
1,22,4690,4690,
1,23,4795,4795,
1,24,4898,4898,
1,25,5000,5000,
1,26,5099,5099,
1,27,5196,5196,
1,28,5291,5291,
1,29,5385,5385,
1,30,5477,5477,
1,31,5567,5567,
1,32,5656,5656,
1,33,5744,5744,
1,34,5830,5830,
1,35,5916,5916,
1,36,6000,6000,
1,37,6082,6082,
1,38,6164,6164,
1,39,6244,6244,
1,40,6324,6324,
1,41,6403,6403,
1,42,6480,6480,
1,43,6557,6557,
1,44,6633,6633,
1,45,6708,6708,
1,46,6782,6782,
1,47,6855,6855,
1,48,6928,6928,
1,49,7000,7000,
1,50,7071,7071,
1,51,7141,7141,
1,52,7211,7211,
1,53,7280,7280,
1,54,7348,7348,
1,55,7416,7416,
1,56,7483,7483,
1,57,7549,7549,
1,58,7615,7615,
1,59,7681,7681,
1,60,7745,7745,
1,61,7810,7810,
1,62,7874,7874,
1,63,7937,7937,
1,64,8000,8000,
1,65,8062,8062,
1,66,8124,8124,
1,67,8185,8185,
1,68,8246,8246,
1,69,8306,8306,
1,70,8366,8366,
1,71,8426,8426,
1,72,8485,8485,
1,73,8544,8544,
1,74,8602,8602,
1,75,8660,8660,
1,76,8717,8717,
1,77,8774,8774,
1,78,8831,8831,
1,79,8888,8888,
1,80,8944,8944,
1,81,9000,9000,
1,82,9055,9055,
1,83,9110,9110,
1,84,9165,9165,
1,85,9219,9219,
1,86,9273,9273,
1,87,9327,9327,
1,88,9380,9380,
1,89,9433,9433,
1,90,9486,9486,
1,91,9539,9539,
1,92,9591,9591,
1,93,9643,9643,
1,94,9695,9695,
1,95,9746,9746,
1,96,9797,9797,
1,97,9848,9848,
1,98,9899,9899,
1,99,9949,9949,
1,100,10000,10000,
1,101,10049,10049,
1,102,10099,10099,
1,103,10148,10148,
1,104,10198,10198,
1,105,10246,10246,
1,106,10295,10295,
1,107,10344,10344,
1,108,10392,10392,
1,109,10440,10440,
1,110,10488,10488,
1,111,10535,10535,
1,112,10583,10583,
1,113,10630,10630,
1,114,10677,10677,
1,115,10723,10723,
1,116,10770,10770,
1,117,10816,10816,
1,118,10862,10862,
1,119,10908,10908,
1,120,10954,10954,
1,121,11000,11000,
1,122,11045,11045,
1,123,11090,11090,
1,124,11135,11135,
1,125,11180,11180,
1,126,11224,11224,
1,127,11269,11269,
1,128,11313,11313,
