cores,threads,width,height,time
1,1,1000,1000,0.561892
1,2,1414,1414,0.557038
1,3,1732,1732,0.554816
1,4,2000,2000,0.557202
1,5,2236,2236,0.557758
1,6,2449,2449,0.556643
1,7,2645,2645,0.557425
1,8,2828,2828,0.557323
1,9,3000,3000,0.559139
1,10,3162,3162,0.558833
1,11,3316,3316,0.558254
1,12,3464,3464,0.559254
1,13,3605,3605,0.560033
1,14,3741,3741,0.560595
1,15,3872,3872,0.560830
1,16,4000,4000,0.561601
1,17,4123,4123,0.563151
1,18,4242,4242,0.562493
1,19,4358,4358,0.563416
1,20,4472,4472,0.563972
1,21,4582,4582,0.565033
1,22,4690,4690,0.565024
1,23,4795,4795,0.565429
1,24,4898,4898,0.566223
1,25,5000,5000,0.566831
1,26,5099,5099,0.566881
1,27,5196,5196,0.567853
1,28,5291,5291,0.568403
1,29,5385,5385,0.569129
1,30,5477,5477,0.569133
1,31,5567,5567,0.569310
1,32,5656,5656,0.569920
1,33,5744,5744,0.571177
1,34,5830,5830,0.572004
1,35,5916,5916,0.572172
1,36,6000,6000,0.572715
1,37,6082,6082,0.573219
1,38,6164,6164,0.573757
1,39,6244,6244,0.574176
1,40,6324,6324,0.574152
1,41,6403,6403,0.575041
1,42,6480,6480,0.575309
1,43,6557,6557,0.575929
1,44,6633,6633,0.576542
1,45,6708,6708,0.576746
1,46,6782,6782,0.578353
1,47,6855,6855,0.577824
1,48,6928,6928,0.578794
1,49,7000,7000,0.579560
1,50,7071,7071,0.579881
1,51,7141,7141,0.580373
1,52,7211,7211,0.581282
1,53,7280,7280,0.581383
1,54,7348,7348,0.581661
1,55,7416,7416,0.583153
1,56,7483,7483,0.583175
1,57,7549,7549,0.583643
1,58,7615,7615,0.585491
1,59,7681,7681,0.585124
1,60,7745,7745,0.585216
1,61,7810,7810,0.585843
1,62,7874,7874,0.587005
1,63,7937,7937,0.587201
1,64,8000,8000,0.587772
1,65,8062,8062,0.596744
1,66,8124,8124,0.606131
1,67,8185,8185,0.615483
1,68,8246,8246,0.624564
1,69,8306,8306,0.634100
1,70,8366,8366,0.642450
1,71,8426,8426,0.652354
1,72,8485,8485,0.661188
1,73,8544,8544,0.670662
1,74,8602,8602,0.678975
1,75,8660,8660,0.758878
1,76,8717,8717,0.696855
1,77,8774,8774,0.706043
1,78,8831,8831,0.717144
1,79,8888,8888,0.725771
1,80,8944,8944,0.735866
1,81,9000,9000,0.744371
1,82,9055,9055,0.752441
1,83,9110,9110,0.761406
1,84,9165,9165,0.770937
1,85,9219,9219,0.779944
1,86,9273,9273,0.790929
1,87,9327,9327,0.797484
1,88,9380,9380,0.808645
1,89,9433,9433,0.816520
1,90,9486,9486,0.826188
1,91,9539,9539,0.834103
1,92,9591,9591,0.843607
1,93,9643,9643,0.852730
1,94,9695,9695,0.861972
1,95,9746,9746,0.871428
1,96,9797,9797,0.883210
1,97,9848,9848,0.890325
1,98,9899,9899,0.899501
1,99,9949,9949,0.907906
1,100,10000,10000,0.916989
1,101,10049,10049,0.925807
1,102,10099,10099,0.935270
1,103,10148,10148,0.945492
1,104,10198,10198,0.953425
1,105,10246,10246,0.963289
1,106,10295,10295,0.972432
1,107,10344,10344,0.983699
1,108,10392,10392,0.990715
1,109,10440,10440,0.999771
1,110,10488,10488,1.007832
1,111,10535,10535,1.017303
1,112,10583,10583,1.026950
1,113,10630,10630,1.036576
1,114,10677,10677,1.046137
1,115,10723,10723,1.055172
1,116,10770,10770,1.064703
1,117,10816,10816,1.072371
1,118,10862,10862,1.081337
1,119,10908,10908,1.090871
1,120,10954,10954,1.099935
1,121,11000,11000,1.110795
1,122,11045,11045,1.119288
1,123,11090,11090,1.128195
1,124,11135,11135,1.136769
1,125,11180,11180,1.154655
1,126,11224,11224,1.154406
1,127,11269,11269,1.168974
1,128,11313,11313,1.174486
