cores,threads,width,height,time
1,1,1000,1000,0.555923
1,2,1414,1414,0.556505
1,3,1732,1732,0.555673
1,4,2000,2000,0.556447
1,5,2236,2236,0.557602
1,6,2449,2449,0.557120
1,7,2645,2645,0.557619
1,8,2828,2828,0.559025
1,9,3000,3000,0.559013
1,10,3162,3162,0.560159
1,11,3316,3316,0.560414
1,12,3464,3464,0.561146
1,13,3605,3605,0.560810
1,14,3741,3741,0.561381
1,15,3872,3872,0.561839
1,16,4000,4000,0.563096
1,17,4123,4123,0.563559
1,18,4242,4242,0.564034
1,19,4358,4358,0.564311
1,20,4472,4472,0.565014
1,21,4582,4582,0.565776
1,22,4690,4690,0.566216
1,23,4795,4795,0.566813
1,24,4898,4898,0.567120
1,25,5000,5000,0.569689
1,26,5099,5099,0.568730
1,27,5196,5196,0.568897
1,28,5291,5291,0.569801
1,29,5385,5385,0.569891
1,30,5477,5477,0.570353
1,31,5567,5567,0.571008
1,32,5656,5656,0.571375
1,33,5744,5744,0.571831
1,34,5830,5830,0.572565
1,35,5916,5916,0.573145
1,36,6000,6000,0.573714
1,37,6082,6082,0.574341
1,38,6164,6164,0.574573
1,39,6244,6244,0.575097
1,40,6324,6324,0.576247
1,41,6403,6403,0.575878
1,42,6480,6480,0.576757
1,43,6557,6557,0.577443
1,44,6633,6633,0.577931
1,45,6708,6708,0.578675
1,46,6782,6782,0.579157
1,47,6855,6855,0.579864
1,48,6928,6928,0.580006
1,49,7000,7000,0.580621
1,50,7071,7071,0.581129
1,51,7141,7141,0.582219
1,52,7211,7211,0.582057
1,53,7280,7280,0.582932
1,54,7348,7348,0.583305
1,55,7416,7416,0.584035
1,56,7483,7483,0.584394
1,57,7549,7549,0.584976
1,58,7615,7615,0.585606
1,59,7681,7681,0.588307
1,60,7745,7745,0.586688
1,61,7810,7810,0.587616
1,62,7874,7874,0.588020
1,63,7937,7937,0.588238
1,64,8000,8000,0.588845
1,65,8062,8062,0.598637
1,66,8124,8124,0.608593
1,67,8185,8185,0.617268
1,68,8246,8246,0.626306
1,69,8306,8306,0.635237
1,70,8366,8366,0.644289
1,71,8426,8426,0.653470
1,72,8485,8485,0.662818
1,73,8544,8544,0.671945
1,74,8602,8602,0.681355
1,75,8660,8660,0.690029
1,76,8717,8717,0.698726
1,77,8774,8774,0.711553
1,78,8831,8831,0.718097
1,79,8888,8888,0.727177
1,80,8944,8944,0.736224
1,81,9000,9000,0.745117
1,82,9055,9055,0.754249
1,83,9110,9110,0.763684
1,84,9165,9165,0.772897
1,85,9219,9219,0.781970
1,86,9273,9273,0.791457
1,87,9327,9327,0.800549
1,88,9380,9380,0.809195
1,89,9433,9433,0.818347
1,90,9486,9486,0.827606
1,91,9539,9539,0.836734
1,92,9591,9591,0.846443
1,93,9643,9643,0.855818
1,94,9695,9695,0.863770
1,95,9746,9746,0.873775
1,96,9797,9797,0.882336
1,97,9848,9848,0.892131
1,98,9899,9899,0.900747
1,99,9949,9949,0.910496
1,100,10000,10000,0.919766
1,101,10049,10049,0.929456
1,102,10099,10099,0.938318
1,103,10148,10148,0.947296
1,104,10198,10198,0.956484
1,105,10246,10246,0.965173
1,106,10295,10295,0.975720
1,107,10344,10344,0.987633
1,108,10392,10392,0.993928
1,109,10440,10440,1.001482
1,110,10488,10488,1.011391
1,111,10535,10535,1.020147
1,112,10583,10583,1.029581
1,113,10630,10630,1.038583
1,114,10677,10677,1.047548
1,115,10723,10723,1.057981
1,116,10770,10770,1.066994
1,117,10816,10816,1.075956
1,118,10862,10862,1.084822
1,119,10908,10908,1.094098
1,120,10954,10954,1.107331
1,121,11000,11000,1.112079
1,122,11045,11045,1.122579
1,123,11090,11090,1.130453
1,124,11135,11135,1.139828
1,125,11180,11180,1.149122
1,126,11224,11224,1.158728
1,127,11269,11269,1.167746
1,128,11313,11313,1.176720
